County,State,StateCode,LBW,LBWind,InfantMort,InfantMortInd
Autauga,Alabama,AL,8.1,4,5.9,3
Baldwin,Alabama,AL,8.6,4,7.1,3
Barbour,Alabama,AL,11,4,7.1,3
Bibb,Alabama,AL,8.7,4,9.8,4
Blount,Alabama,AL,7.6,4,9,4
Bullock,Alabama,AL,13.7,4,13.3,4
Butler,Alabama,AL,9.8,3,5.8,3
Calhoun,Alabama,AL,9,4,9.5,4
Chambers,Alabama,AL,9.3,4,7.5,3
Cherokee,Alabama,AL,8.4,4,7.4,4
Chilton,Alabama,AL,9.1,4,10.5,4
Choctaw,Alabama,AL,10.2,4,10.8,4
Clarke,Alabama,AL,9.8,4,7.1,3
Clay,Alabama,AL,8.2,4,10.2,4
Cleburne,Alabama,AL,8.5,3,7,3
Coffee,Alabama,AL,8.9,4,2.9,3
Colbert,Alabama,AL,10.4,4,8.2,4
Conecuh,Alabama,AL,12.7,4,14.4,4
Coosa,Alabama,AL,12.3,4,13.9,4
Covington,Alabama,AL,8.6,4,6.2,3
Crenshaw,Alabama,AL,8.3,4,11.4,4
Cullman,Alabama,AL,8.8,4,6.9,4
Dale,Alabama,AL,8.4,4,7.9,4
Dallas,Alabama,AL,11.6,4,9.6,4
DeKalb,Alabama,AL,9.1,4,7.7,3
Elmore,Alabama,AL,8.6,4,7.6,4
Escambia,Alabama,AL,11.2,4,12.3,4
Etowah,Alabama,AL,8.5,4,8.7,4
Fayette,Alabama,AL,8.7,4,7.3,3
Franklin,Alabama,AL,7.7,4,11.5,4
Geneva,Alabama,AL,7.7,4,7.1,4
Greene,Alabama,AL,13.4,4,10.2,4
Hale,Alabama,AL,11.5,4,13.8,4
Henry,Alabama,AL,9.7,4,7.6,4
Houston,Alabama,AL,8.6,4,8,4
Jackson,Alabama,AL,9.3,4,6.4,3
Jefferson,Alabama,AL,10.8,4,11.3,4
Lamar,Alabama,AL,8.9,4,15.6,4
Lauderdale,Alabama,AL,9.6,4,5.4,3
Lawrence,Alabama,AL,8.2,3,5.3,3
Lee,Alabama,AL,7.9,3,8.3,4
Limestone,Alabama,AL,9,4,7.3,4
Lowndes,Alabama,AL,11.6,4,12.6,4
Macon,Alabama,AL,11.1,4,13,4
Madison,Alabama,AL,9.2,4,9.1,4
Marengo,Alabama,AL,11.2,4,12.2,4
Marion,Alabama,AL,8.2,4,8.8,4
Marshall,Alabama,AL,8.3,4,7.9,3
Mobile,Alabama,AL,11.3,4,10,4
Monroe,Alabama,AL,10.9,3,7.8,3
Montgomery,Alabama,AL,10.4,4,9.5,4
Morgan,Alabama,AL,8.7,4,5.2,3
Perry,Alabama,AL,11.9,4,10.2,4
Pickens,Alabama,AL,11.5,4,8.2,3
Pike,Alabama,AL,9.3,4,9.1,4
Randolph,Alabama,AL,9.8,4,9,4
Russell,Alabama,AL,10.3,4,12.9,4
St. Clair,Alabama,AL,8.2,4,9.3,4
